Port Name,Latitude,Longitude,Port_Type,Port Size,UN/LOCODE,Source URL
Port of Lyndiane,"14° 10' 7"" N","16° 9' 49"" W","Pier, Jetty or Wharf",Small,SNLYN,http://www.worldportsource.com/ports/SEN_Port_of_Lyndiane_2296.php
Port of Kingstown,"13° 9' 0"" N","61° 13' 39"" W",Harbor,Small,VCKTN,http://www.worldportsource.com/ports/VCT_Port_of_Kingstown_175.php
Port of Basseterre,"17° 17' 26"" N","62° 43' 16"" W",Seaport,Small,,http://www.worldportsource.com/ports/KNA_Port_of_Basseterre_149.php
Campden Park Bay,"13° 10' 9"" N","61° 14' 54"" W",Seaport,Small,VCKTN,http://www.worldportsource.com/ports/VCT_Campden_Park_Bay_2000.php
Port of Sao Tome,"0° 20' 41"" N","6° 44' 4"" E",Seaport,Small,,http://www.worldportsource.com/ports/STP_Port_of_Sao_Tome_2377.php
Port of Port Elizabeth,"13° 0' 35"" N","61° 14' 20"" W",Harbor,Small,,http://www.worldportsource.com/ports/VCT_Port_of_Port_Elizabeth_4937.php
Jobos Bay,"17° 56' 55"" N","66° 12' 6"" W",Harbor,Small,PRPJO,http://www.worldportsource.com/ports/PRI_Jobos_Bay_1795.php
Port of Ras al Khafji,"28° 24' 54"" N","48° 31' 33"" E",Seaport,Small,SARAR,http://www.worldportsource.com/ports/SAU_Port_of_Ras_al_Khafji_4727.php
Port of Zarubino,"42° 38' 50"" N","131° 6' 19"" E",Harbor,Small,RUZAR,http://www.worldportsource.com/ports/RUS_Port_of_Zarubino_2570.php
Port of Apia *,"13° 49' 42"" S","171° 45' 45"" W",Harbor,Small,WSAPW,http://www.worldportsource.com/ports/WSM_Port_of_Apia_2410.php
Puerto Nuevo *,"18° 26' 10"" N","66° 5' 45"" W",Seaport,Medium,PRSJU,http://www.worldportsource.com/ports/PRI_Puerto_Nuevo_1772.php
Port of Tallaboa,"17° 59' 20"" N","66° 43' 52"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRI_Port_of_Tallaboa_4820.php
West Port (Old Port),"20° 56' 15"" S","55° 17' 2"" E",Harbor,Small,,http://www.worldportsource.com/ports/REU_West_Port_Old_Port__3789.php
Port of San Juan *,"18° 27' 23"" N","66° 6' 8"" W",Seaport,Medium,PRSJU,http://www.worldportsource.com/ports/PRI_Port_of_San_Juan_226.php
Puerto de Tierra Colorada,"5° 4' 33"" S","81° 8' 35"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PER_Puerto_de_Tierra_Colorada_4748.php
Port of Yabucoa,"18° 3' 2"" N","65° 50' 9"" W",Seaport,Small,PRYAB,http://www.worldportsource.com/ports/PRI_Port_of_Yabucoa_1770.php
Port of Supe,"10° 48' 0"" S","77° 44' 47"" W","Pier, Jetty or Wharf",Very Small,PESUP,http://www.worldportsource.com/ports/PER_Port_of_Supe_1751.php
Puerto de Samanco,"9° 15' 18"" S","78° 29' 53"" W","Pier, Jetty or Wharf",Very Small,PESAM,http://www.worldportsource.com/ports/PER_Puerto_de_Samanco_4747.php
Port Wladyslawowo,"54° 47' 46"" N","18° 25' 7"" E",Harbor,Small,PLWLA,http://www.worldportsource.com/ports/POL_Port_Wladyslawowo_629.php
Port of Talara,"4° 34' 23"" S","81° 16' 45"" W",Harbor,Small,PETYL,http://www.worldportsource.com/ports/PER_Port_of_Talara_1473.php
Port of Tubod,"8° 6' 52"" N","123° 53' 47"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Tubod_1984.php
Port of San Nicolas,"15° 15' 30"" S","75° 14' 23"" W",Harbor,Small,PESNX,http://www.worldportsource.com/ports/PER_Port_of_San_Nicolas_1479.php
Port of Tandayag,"9° 31' 3"" N","123° 18' 1"" E","Pier, Jetty or Wharf",Very Small,PHTAN,http://www.worldportsource.com/ports/PHL_Port_of_Tandayag_1965.php
Puerto de Puerto Chicama,"7° 41' 37"" S","79° 26' 23"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PER_Puerto_de_Puerto_Chicama_1752.php
Port of Zamboanga,"6° 54' 10"" N","122° 4' 27"" E","Pier, Jetty or Wharf",Small,PHZAM,http://www.worldportsource.com/ports/PHL_Port_of_Zamboanga_1999.php
Port of Tabaco,"13° 21' 37"" N","123° 44' 10"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Tabaco_1957.php
Port of Virac,"13° 34' 48"" N","124° 14' 11"" E","Pier, Jetty or Wharf",Small,PHVRC,http://www.worldportsource.com/ports/PHL_Port_of_Virac_1958.php
Port of Surigao,"9° 47' 16"" N","125° 29' 55"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Surigao_1989.php
Port of Santa Cruz,"13° 30' 20"" N","122° 3' 0"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Santa_Cruz_1953.php
Port of Tacloban,"11° 14' 51"" N","125° 0' 4"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Tacloban_1973.php
Port of Tagbilaran,"9° 38' 32"" N","123° 51' 3"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Tagbilaran_1981.php
Port of Santa Ana,"7° 3' 26"" N","125° 36' 17"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Santa_Ana_1995.php
"Port of San Jose, Carangian","12° 31' 54"" N","124° 29' 13"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_San_Jose_Carangian_1979.php
Port of San Jose Buenavista,"10° 44' 18"" N","121° 56' 16"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_San_Jose_Buenavista_1970.php
Romblon Terminal,"12° 34' 46"" N","122° 16' 5"" E","Pier, Jetty or Wharf",Small,PHRLN,http://www.worldportsource.com/ports/PHL_Romblon_Terminal_1951.php
Port of Pulupandan,"10° 31' 15"" N","122° 47' 43"" E","Pier, Jetty or Wharf",Small,PHPUL,http://www.worldportsource.com/ports/PHL_Port_of_Pulupandan_1952.php
Port of Puerto Princesa,"9° 44' 41"" N","118° 43' 58"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Puerto_Princesa_1959.php
Port of Pasacao,"13° 30' 20"" N","123° 2' 47"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Pasacao_1956.php
Port of Palompon,"11° 3' 0"" N","124° 22' 54"" E","Pier, Jetty or Wharf",Very Small,PHPPN,http://www.worldportsource.com/ports/PHL_Port_of_Palompon_1980.php
Port of Ormoc,"11° 0' 9"" N","124° 36' 16"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Ormoc_1974.php
Port of Ozamiz,"8° 8' 22"" N","123° 50' 27"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Ozamiz_1987.php
Port of San Carlos,"10° 28' 41"" N","123° 25' 18"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_San_Carlos_1972.php
Port of Nasipit,"8° 58' 59"" N","125° 19' 59"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Nasipit_1985.php
Port of Mati,"6° 56' 24"" N","126° 13' 27"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Mati_1994.php
Port of Masinloc,"15° 33' 24"" N","119° 55' 57"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Masinloc_1945.php
Port of Masbate,"12° 22' 5"" N","123° 37' 18"" E","Pier, Jetty or Wharf",Small,PHMBT,http://www.worldportsource.com/ports/PHL_Port_of_Masbate_1955.php
Port of Maasin,"10° 7' 51"" N","124° 50' 9"" E","Pier, Jetty or Wharf",Very Small,PHMAA,http://www.worldportsource.com/ports/PHL_Port_of_Maasin_1975.php
Port of Legazpi,"13° 8' 40"" N","123° 45' 28"" E",Harbor,Small,,http://www.worldportsource.com/ports/PHL_Port_of_Legazpi_1962.php
Port of Larena,"9° 14' 39"" N","123° 34' 40"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Larena_1964.php
Port of Kalamansig,"6° 32' 59"" N","124° 2' 59"" E","Pier, Jetty or Wharf",Small,PHKLM,http://www.worldportsource.com/ports/PHL_Port_of_Kalamansig_1998.php
Port of Jimenez,"8° 19' 50"" N","123° 51' 31"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Jimenez_1988.php
Port of Lipata,"9° 46' 56"" N","125° 25' 18"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Lipata_1991.php
Port of Guihulngan,"10° 20' 54"" N","123° 19' 47"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Guihulngan_1966.php
Port of Isabel,"10° 54' 24"" N","124° 26' 4"" E",Harbor,Small,,http://www.worldportsource.com/ports/PHL_Port_of_Isabel_4953.php
Port of Irene,"18° 22' 45"" N","122° 6' 51"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Irene_1944.php
Port of General Santos,"6° 5' 10"" N","125° 9' 24"" E","Pier, Jetty or Wharf",Small,PHGES,http://www.worldportsource.com/ports/PHL_Port_of_General_Santos_1996.php
Port of Dumaguit,"11° 35' 22"" N","122° 29' 20"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Dumaguit_1969.php
Port of Iligan,"8° 13' 56"" N","124° 14' 0"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Iligan_1983.php
Port of Dumaguete,"9° 18' 43"" N","123° 18' 46"" E","Pier, Jetty or Wharf",Small,PHDGT,http://www.worldportsource.com/ports/PHL_Port_of_Dumaguete_1963.php
Piso Point Global Port,"7° 3' 29"" N","125° 57' 1"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Piso_Point_Global_Port_5476.php
Port of Danao Escalante,"10° 49' 11"" N","123° 33' 35"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Danao_Escalante_1971.php
Port of Dapa,"9° 45' 16"" N","126° 2' 59"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Dapa_1990.php
Port of Currimao,"17° 59' 13"" N","120° 29' 15"" E","Pier, Jetty or Wharf",Very Small,PHCMO,http://www.worldportsource.com/ports/PHL_Port_of_Currimao_1946.php
Port of Cotabato,"7° 13' 37"" N","124° 14' 44"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Cotabato_1997.php
Port of Coron,"11° 59' 28"" N","120° 12' 42"" E","Pier, Jetty or Wharf",Small,PHXCN,http://www.worldportsource.com/ports/PHL_Port_of_Coron_1961.php
Port of Calbayog,"12° 3' 54"" N","124° 35' 30"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Calbayog_1978.php
Port of Catbalogan,"11° 46' 27"" N","124° 52' 35"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Catbalogan_1976.php
Calapan Terminal,"13° 25' 42"" N","121° 11' 38"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Calapan_Terminal_1954.php
Port of Brookes Point,"8° 46' 11"" N","117° 49' 52"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Brookes_Point_1960.php
Port of Culasi,"11° 36' 7"" N","122° 42' 36"" E","Pier, Jetty or Wharf",Small,PHCSI,http://www.worldportsource.com/ports/PHL_Port_of_Culasi_1968.php
Port of Butuan,"8° 56' 46"" N","125° 32' 45"" E",River Port,Small,,http://www.worldportsource.com/ports/PHL_Port_of_Butuan_1986.php
Port of Borongan,"11° 36' 28"" N","125° 26' 48"" E","Pier, Jetty or Wharf",Very Small,PHBGV,http://www.worldportsource.com/ports/PHL_Port_of_Borongan_1977.php
Port of Balanacan,"13° 31' 59"" N","121° 51' 54"" E","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PHL_Port_of_Balanacan_1950.php
Port of Bislig,"8° 11' 46"" N","126° 22' 7"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Bislig_1992.php
Port of Aparri,"18° 20' 44"" N","121° 38' 20"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Aparri_272.php
Port of Subic Bay *,"14° 48' 30"" N","120° 16' 46"" E",Seaport,Medium,PHSFS,http://www.worldportsource.com/ports/PHL_Port_of_Subic_Bay_3512.php
Port of Manila *,"14° 31' 27"" N","120° 56' 57"" E",Seaport,Very Large,PHMNL,http://www.worldportsource.com/ports/PHL_Port_of_Manila_1947.php
Port of Iloilo *,"10° 41' 18"" N","122° 34' 54"" E",Seaport,Medium,,http://www.worldportsource.com/ports/PHL_Port_of_Iloilo_1967.php
Port of Cebu,"10° 18' 23"" N","123° 55' 34"" E",Seaport,Medium,PHCEB,http://www.worldportsource.com/ports/PHL_Port_of_Cebu_3508.php
Port of Davao *,"7° 6' 30"" N","125° 39' 22"" E",Seaport,Medium,,http://www.worldportsource.com/ports/PHL_Port_of_Davao_1993.php
Port of Cagayan de Oro,"8° 30' 23"" N","124° 39' 30"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Cagayan_de_Oro_1982.php
Port of Bugo,"8° 30' 26"" N","124° 45' 5"" E",Seaport,Small,PHBUG,http://www.worldportsource.com/ports/PHL_Port_of_Bugo_3507.php
Port of Batangas,"13° 44' 51"" N","121° 0' 44"" E",Seaport,Medium,,http://www.worldportsource.com/ports/PHL_Port_of_Batangas_1949.php
Puerto de Paramonga,"10° 40' 47"" S","77° 49' 46"" W","Pier, Jetty or Wharf",Very Small,PEPAM,http://www.worldportsource.com/ports/PER_Puerto_de_Paramonga_4746.php
Puerto de Pacasmayo,"7° 23' 53"" S","79° 34' 24"" W","Pier, Jetty or Wharf",Very Small,PEPAC,http://www.worldportsource.com/ports/PER_Puerto_de_Pacasmayo_4745.php
Port of Bataan,"14° 30' 23"" N","120° 36' 55"" E","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/PHL_Port_of_Bataan_1948.php
Puerto de Lobitos,"4° 27' 0"" S","81° 16' 45"" W","Pier, Jetty or Wharf",Very Small,PELOB,http://www.worldportsource.com/ports/PER_Puerto_de_Lobitos_4742.php
Puerto de Pisco,"13° 43' 59"" S","76° 13' 30"" W","Pier, Jetty or Wharf",Very Small,PEPIO,http://www.worldportsource.com/ports/PER_Puerto_de_Pisco_4734.php
Puerto de Mollendo,"17° 1' 52"" S","72° 0' 58"" W",Harbor,Very Small,PEMLQ,http://www.worldportsource.com/ports/PER_Puerto_de_Mollendo_4744.php
Puerto de Pimentel,"6° 50' 15"" S","79° 56' 20"" W","Pier, Jetty or Wharf",Very Small,PEPMT,http://www.worldportsource.com/ports/PER_Puerto_de_Pimentel_4738.php
Puerto de La Pampilla,"11° 57' 31"" S","77° 8' 18"" W","Pier, Jetty or Wharf",Small,PELPP,http://www.worldportsource.com/ports/PER_Puerto_de_La_Pampilla_4740.php
Puerto de Huarmey,"10° 6' 0"" S","78° 10' 51"" W","Pier, Jetty or Wharf",Small,PEHUY,http://www.worldportsource.com/ports/PER_Puerto_de_Huarmey_4739.php
La Pampilla Terminal,"11° 55' 27"" S","77° 9' 19"" W",Off-Shore Terminal,Very Small,,http://www.worldportsource.com/ports/PER_La_Pampilla_Terminal_4741.php
Puerto de Lobos Islands,"6° 57' 23"" S","80° 42' 0"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PER_Puerto_de_Lobos_Islands_4743.php
Port of Huacho,"11° 7' 22"" S","77° 36' 58"" W","Pier, Jetty or Wharf",Very Small,PEHCO,http://www.worldportsource.com/ports/PER_Port_of_Huacho_1750.php
Port of General San Martin,"13° 48' 3"" S","76° 17' 26"" W","Pier, Jetty or Wharf",Small,PEGSM,http://www.worldportsource.com/ports/PER_Port_of_General_San_Martin_1478.php
Puerto de Eten,"6° 56' 7"" S","79° 52' 5"" W","Pier, Jetty or Wharf",Very Small,PEEEN,http://www.worldportsource.com/ports/PER_Puerto_de_Eten_4737.php
Puerto de Conchan,"12° 9' 51"" S","77° 1' 50"" W","Pier, Jetty or Wharf",Very Small,PECON,http://www.worldportsource.com/ports/PER_Puerto_de_Conchan_4736.php
Port of Chimbote,"9° 4' 36"" S","78° 36' 44"" W",River Port,Very Small,PECHM,http://www.worldportsource.com/ports/PER_Port_of_Chimbote_1476.php
Puerto de Coishco,"9° 1' 11"" S","78° 37' 28"" W",Harbor,Small,,http://www.worldportsource.com/ports/PER_Puerto_de_Coishco_4735.php
Puerto de Chancay,"11° 34' 45"" S","77° 16' 20"" W",Harbor,Very Small,PECHM,http://www.worldportsource.com/ports/PER_Puerto_de_Chancay_4733.php
Port of Bayovar,"5° 47' 36"" S","81° 3' 15"" W",Off-Shore Terminal,Very Small,PEPUB,http://www.worldportsource.com/ports/PER_Port_of_Bayovar_1474.php
Puerto de Cabo Blanco,"4° 15' 1"" S","81° 13' 50"" W","Pier, Jetty or Wharf",Very Small,PECAB,http://www.worldportsource.com/ports/PER_Puerto_de_Cabo_Blanco_4732.php
Puerto Atico,"16° 12' 31"" S","73° 37' 49"" W","Pier, Jetty or Wharf",Very Small,PEATI,http://www.worldportsource.com/ports/PER_Puerto_Atico_4731.php
Port of Ancon,"11° 46' 18"" S","77° 10' 49"" W",Harbor,Small,PEANC,http://www.worldportsource.com/ports/PER_Port_of_Ancon_4730.php
Port of Paita,"5° 4' 41"" S","81° 6' 55"" W","Pier, Jetty or Wharf",Small,PEPAI,http://www.worldportsource.com/ports/PER_Port_of_Paita_1749.php
Port of Matarani,"16° 59' 52"" S","72° 6' 24"" W",Harbor,Small,PEMRI,http://www.worldportsource.com/ports/PER_Port_of_Matarani_1480.php
Port of Iquitos *,"3° 43' 42"" S","73° 14' 12"" W",River Port,Medium,PEIQT,http://www.worldportsource.com/ports/PER_Port_of_Iquitos_1753.php
Port of Ilo,"17° 38' 49"" S","71° 20' 59"" W","Pier, Jetty or Wharf",Very Small,PEILQ,http://www.worldportsource.com/ports/PER_Port_of_Ilo_1481.php
Port of Vila Real de Santo Antonio,"37° 11' 51"" N","7° 24' 55"" W",Harbor,Small,PTVRL,http://www.worldportsource.com/ports/PRT_Port_of_Vila_Real_de_Santo_Antonio_4756.php
Vila Do Porto,"36° 56' 38"" N","25° 8' 48"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/PRT_Vila_Do_Porto_4306.php
Port of Salaverry,"8° 13' 24"" S","78° 59' 9"" W",Harbor,Small,PESVY,http://www.worldportsource.com/ports/PER_Port_of_Salaverry_1475.php
Porto de Viana do Castelo,"41° 41' 11"" N","8° 49' 36"" W",Seaport,Small,PTVDC,http://www.worldportsource.com/ports/PRT_Porto_de_Viana_do_Castelo_1104.php
Port of Callao *,"12° 2' 43"" S","77° 8' 48"" W",Seaport,Large,PECLL,http://www.worldportsource.com/ports/PER_Port_of_Callao_1477.php
Port of Sines,"37° 56' 33"" N","8° 52' 3"" W",Seaport,Large,PTSIE,http://www.worldportsource.com/ports/PRT_Port_of_Sines_1103.php
Port of Setubal *,"38° 29' 23"" N","8° 49' 27"" W",Seaport,Medium,PTSET,http://www.worldportsource.com/ports/PRT_Port_of_Setubal_1102.php
Santa Cruz Da Graciosa,"39° 5' 13"" N","28° 0' 12"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRT_Santa_Cruz_Da_Graciosa_4311.php
Porto de Vila do Conde,"41° 20' 43"" N","8° 44' 28"" W",Harbor,Small,,http://www.worldportsource.com/ports/PRT_Porto_de_Vila_do_Conde_4755.php
Porto da Povoa de Varzim,"41° 22' 25"" N","8° 45' 58"" W",Harbor,Small,,http://www.worldportsource.com/ports/PRT_Porto_da_Povoa_de_Varzim_4754.php
Port of Porto Santo,"33° 3' 39"" N","16° 18' 47"" W",Harbor,Small,,http://www.worldportsource.com/ports/PRT_Port_of_Porto_Santo_1737.php
Santa Cruz Das Flores,"39° 27' 6"" N","31° 7' 31"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRT_Santa_Cruz_Das_Flores_4309.php
Port of Portimao,"37° 7' 35"" N","8° 31' 34"" W",Harbor,Medium,PTPRM,http://www.worldportsource.com/ports/PRT_Port_of_Portimao_4753.php
Porto da Ponta Delgada,"37° 44' 13"" N","25° 39' 50"" W",Harbor,Small,PTPDL,http://www.worldportsource.com/ports/PRT_Porto_da_Ponta_Delgada_4305.php
Port of Porto,"41° 8' 28"" N","8° 37' 11"" W",Harbor,Small,PTOPO,http://www.worldportsource.com/ports/PRT_Port_of_Porto_4752.php
Port of Olhao,"37° 1' 28"" N","7° 50' 20"" W",Harbor,Small,,http://www.worldportsource.com/ports/PRT_Port_of_Olhao_4750.php
Porto da Praia Da Vitoria,"38° 43' 25"" N","27° 3' 16"" W",Harbor,Small,PTPRV,http://www.worldportsource.com/ports/PRT_Porto_da_Praia_Da_Vitoria_4301.php
Porto da Madalena,"38° 32' 7"" N","28° 31' 48"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/PRT_Porto_da_Madalena_4302.php
Port of Lisbon *,"38° 41' 57"" N","9° 9' 32"" W",Seaport,Medium,PTLIS,http://www.worldportsource.com/ports/PRT_Port_of_Lisbon_1101.php
Port of Leixoes *,"41° 11' 6"" N","8° 41' 54"" W",Seaport,Medium,PTLEI,http://www.worldportsource.com/ports/PRT_Port_of_Leixoes_1083.php
Porto da Lajes Das Flores,"39° 22' 42"" N","31° 10' 4"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRT_Porto_da_Lajes_Das_Flores_4308.php
Port of Lagos,"37° 6' 14"" N","8° 40' 14"" W",Harbor,Small,PTLOS,http://www.worldportsource.com/ports/PRT_Port_of_Lagos_4751.php
Porto da Horta,"38° 31' 48"" N","28° 37' 30"" W",Harbor,Very Small,PTHOR,http://www.worldportsource.com/ports/PRT_Porto_da_Horta_4303.php
Porto do Lagoa,"39° 3' 10"" N","27° 58' 7"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/PRT_Porto_do_Lagoa_4307.php
Port of Funchal,"32° 38' 35"" N","16° 54' 45"" W",Seaport,Small,,http://www.worldportsource.com/ports/PRT_Port_of_Funchal_1081.php
Port of Figueira Da Foz,"40° 8' 43"" N","8° 51' 27"" W",Seaport,Medium,PTFDF,http://www.worldportsource.com/ports/PRT_Port_of_Figueira_Da_Foz_3177.php
Port of Faro,"37° 0' 38"" N","7° 55' 53"" W",Seaport,Medium,PTFAO,http://www.worldportsource.com/ports/PRT_Port_of_Faro_4749.php
Port of Douro,"40° 38' 36"" N","8° 44' 30"" W",Seaport,Small,PTOPO,http://www.worldportsource.com/ports/PRT_Port_of_Douro_3255.php
Porto de Aveiro *,"40° 38' 37"" N","8° 43' 17"" W",Seaport,Medium,PTAVE,http://www.worldportsource.com/ports/PRT_Porto_de_Aveiro_1082.php
Porto da Corvo,"39° 40' 18"" N","31° 6' 36"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRT_Porto_da_Corvo_4310.php
Porto da Angra do Heroismo,"38° 39' 9"" N","27° 12' 57"" W",Harbor,Very Small,PTADH,http://www.worldportsource.com/ports/PRT_Porto_da_Angra_do_Heroismo_4304.php
Port Ustka,"54° 35' 20"" N","16° 51' 7"" E",Harbor,Small,PLUST,http://www.worldportsource.com/ports/POL_Port_Ustka_631.php
Port of Szczecin *,"53° 25' 50"" N","14° 35' 14"" E",Seaport,Medium,PLSZZ,http://www.worldportsource.com/ports/POL_Port_of_Szczecin_1178.php
Port Handlowy Swinoujscie *,"53° 54' 18"" N","14° 16' 11"" E",Seaport,Medium,PLSWI,http://www.worldportsource.com/ports/POL_Port_Handlowy_Swinoujscie_630.php
Port of Police,"53° 34' 13"" N","14° 34' 31"" E",Seaport,Small,PLPLC,http://www.worldportsource.com/ports/POL_Port_of_Police_4596.php
Port of Kolobrzeg,"54° 10' 58"" N","15° 33' 14"" E",Seaport,Medium,PLKOL,http://www.worldportsource.com/ports/POL_Port_of_Kolobrzeg_4595.php
Port of Hel,"54° 36' 25"" N","18° 47' 34"" E",Harbor,Small,,http://www.worldportsource.com/ports/POL_Port_of_Hel_4593.php
Port of Gdynia *,"54° 32' 0"" N","18° 32' 29"" E",Seaport,Large,PLGDY,http://www.worldportsource.com/ports/POL_Port_of_Gdynia_1177.php
Port Polnocny,"54° 23' 40"" N","18° 43' 15"" E",Seaport,Medium,,http://www.worldportsource.com/ports/POL_Port_Polnocny_4594.php
Port of Gdansk *,"54° 23' 36"" N","18° 40' 12"" E",Seaport,Large,PLGDN,http://www.worldportsource.com/ports/POL_Port_of_Gdansk_1176.php
Port of Darlowo,"54° 26' 18"" N","16° 22' 46"" E",Harbor,Small,PLDAR,http://www.worldportsource.com/ports/POL_Port_of_Darlowo_4591.php
Port of Elblag,"54° 9' 54"" N","19° 23' 27"" E",River Port,Small,,http://www.worldportsource.com/ports/POL_Port_of_Elblag_4592.php
Puerto Maunabo,"17° 59' 28"" N","65° 53' 20"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRI_Puerto_Maunabo_4813.php
Puerto de Naguabo,"18° 11' 14"" N","65° 42' 45"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRI_Puerto_de_Naguabo_4816.php
Port of Mayaguez,"18° 12' 50"" N","67° 9' 39"" W",Seaport,Small,PRMAZ,http://www.worldportsource.com/ports/PRI_Port_of_Mayaguez_1796.php
Punta Guayanes,"18° 3' 46"" N","65° 48' 59"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRI_Punta_Guayanes_4814.php
Port of Ponce,"17° 58' 5"" N","66° 36' 58"" W",Harbor,Small,PRPSE,http://www.worldportsource.com/ports/PRI_Port_of_Ponce_222.php
Port of Las Mareas,"17° 56' 3"" N","66° 9' 32"" W",Harbor,Very Small,PRLAM,http://www.worldportsource.com/ports/PRI_Port_of_Las_Mareas_1769.php
Port of Isabela Segunda,"18° 9' 9"" N","65° 26' 37"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRI_Port_of_Isabela_Segunda_4819.php
Port of Guayanilla,"17° 59' 52"" N","66° 45' 55"" W",Seaport,Small,PRGUY,http://www.worldportsource.com/ports/PRI_Port_of_Guayanilla_1767.php
Playa de Humacao,"18° 9' 48"" N","65° 44' 34"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/PRI_Playa_de_Humacao_4815.php
Port of Guanica,"17° 57' 55"" N","66° 55' 24"" W",Harbor,Small,PRGUX,http://www.worldportsource.com/ports/PRI_Port_of_Guanica_1768.php
Port of Fajardo,"18° 20' 24"" N","65° 37' 46"" W",Harbor,Small,PRFAJ,http://www.worldportsource.com/ports/PRI_Port_of_Fajardo_1791.php
Ensenada Honda Harbor,"18° 18' 2"" N","65° 17' 26"" W",Harbor,Small,,http://www.worldportsource.com/ports/PRI_Ensenada_Honda_Harbor_4817.php
