Port Name,Latitude,Longitude,Port_Type,Port Size,UN/LOCODE,Source URL
Port of Sorel,"46° 2' 28"" N","73° 7' 8"" W",Seaport,Small,CASOR,http://www.worldportsource.com/ports/CAN_Port_of_Sorel_4002.php
Sonora Harbor,"45° 3' 28"" N","61° 54' 16"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Sonora_Harbor_4032.php
Skidegate Landing,"53° 14' 47"" N","132° 0' 32"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Skidegate_Landing_4190.php
Sidney Harbour,"48° 38' 54"" N","123° 23' 36"" W",Harbor,Small,CASDY,http://www.worldportsource.com/ports/CAN_Sidney_Harbour_2644.php
Shippegan Harbor,"47° 44' 51"" N","64° 42' 12"" W",Harbor,Small,CASHP,http://www.worldportsource.com/ports/CAN_Shippegan_Harbor_4082.php
Sheshatshiu Harbor,"53° 31' 25"" N","60° 8' 51"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/CAN_Sheshatshiu_Harbor_4020.php
Port of Shelburne,"43° 44' 59"" N","65° 19' 6"" W",Harbor,Small,CASBU,http://www.worldportsource.com/ports/CAN_Port_of_Shelburne_2643.php
Sheet Harbour,"44° 54' 58"" N","62° 31' 40"" W","Pier, Jetty or Wharf",Very Small,CASHH,http://www.worldportsource.com/ports/CAN_Sheet_Harbour_4078.php
Port of Shediac,"46° 14' 5"" N","64° 32' 26"" W",Harbor,Small,CASHE,http://www.worldportsource.com/ports/CAN_Port_of_Shediac_2642.php
Saulte Ste Marie Harbor,"46° 30' 52"" N","84° 20' 38"" W",River Port,Small,CASSM,http://www.worldportsource.com/ports/CAN_Saulte_Ste_Marie_Harbor_4077.php
Port of Sept-Iles,"50° 12' 23"" N","66° 23' 3"" W","Pier, Jetty or Wharf",Medium,CASEI,http://www.worldportsource.com/ports/CAN_Port_of_Sept_Iles_132.php
Ship Harbour,"44° 47' 40"" N","62° 50' 39"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Ship_Harbour_4081.php
Sandspit Landing,"53° 15' 19"" N","131° 49' 17"" W","Pier, Jetty or Wharf",Very Small,,http://www.worldportsource.com/ports/CAN_Sandspit_Landing_4193.php
Port of Sarnia,"42° 58' 35"" N","82° 24' 30"" W",Seaport,Small,CASNI,http://www.worldportsource.com/ports/CAN_Port_of_Sarnia_2641.php
Sambro Harbor,"44° 28' 39"" N","63° 35' 57"" W",Harbor,Very Small,,http://www.worldportsource.com/ports/CAN_Sambro_Harbor_4401.php
Sainte-Anne-des-Monts Harbor,"49° 7' 58"" N","66° 29' 17"" W",Harbor,Small,,http://www.worldportsource.com/ports/CAN_Sainte_Anne_des_Monts_Harbor_4076.php
Canaport,"45° 12' 28"" N","65° 58' 53"" W",Seaport,Small,CACPT,http://www.worldportsource.com/ports/CAN_Canaport_4399.php
Saint John Port *,"45° 16' 4"" N","66° 3' 56"" W",Seaport,Medium,CASJB,http://www.worldportsource.com/ports/CAN_Saint_John_Port_130.php
Port of Saguenay,"48° 24' 3"" N","70° 49' 57"" W","Pier, Jetty or Wharf",Small,,http://www.worldportsource.com/ports/CAN_Port_of_Saguenay_1760.php
Rimouski Harbor,"48° 28' 40"" N","68° 30' 46"" W",Harbor,Small,CARIM,http://www.worldportsource.com/ports/CAN_Rimouski_Harbor_4075.php
